# x,y,theta,scalar_mag 
-0.75,-0.5,1.6999615509869215,37701.593 
-0.5,-0.5,1.757035547287272,37835.076 
-0.25,-0.5,1.747535327107099,38534.042 
0.0,-0.5,1.7551153692053734,40632.437 
0.25,-0.5,1.7544081158921832,43099.562 
0.5,-0.5,1.750955240850546,44092.134 
0.75,-0.5,1.703780078989318,43179.106 
1.0,-0.5,1.7406984736635347,41557.724 
1.25,-0.5,1.7401348893156878,40717.289 
1.5,-0.5,1.7111406123181985,40809.276 
1.75,-0.5,1.7433180880743817,41606.495 
2.0,-0.5,1.7048563327776016,41980.746 
2.25,-0.5,1.7014898670296288,41625.862 
2.5,-0.5,1.7095609023423155,41292.165 
2.75,-0.5,1.7422137653174374,41411.194 
3.0,-0.5,1.7346068093454994,42746.261 
-3.0,-0.25,1.7103375727304222,42361.711 
-2.75,-0.25,1.7524475307568932,42253.887 
-2.5,-0.25,1.7491127333975058,42772.631 
-2.25,-0.25,1.7145602475422512,42577.764 
-2.0,-0.25,1.738936879449406,40995.744 
-1.75,-0.25,1.7042485230307023,38109.141 
-1.5,-0.25,1.7507837036991765,35645.493 
-1.25,-0.25,1.57692607212445,35630.232 
-1.0,-0.25,1.7453404417945362,36844.746 
-0.75,-0.25,1.703662931795381,38218.51 
-0.5,-0.25,1.749258964829079,37813.305 
-0.25,-0.25,1.7023632217571307,38783.424 
0.0,-0.25,1.753416115670551,41455.613 
0.25,-0.25,1.705791467938175,44235.917 
0.5,-0.25,1.7492441969113013,45241.865 
0.75,-0.25,1.7135221235049827,44033.171 
1.0,-0.25,1.7576838625938436,41999.033 
1.25,-0.25,1.7107703825075395,41017.747 
1.5,-0.25,1.7063507345074374,41190.856 
1.75,-0.25,1.7071427648333422,42003.977 
2.0,-0.25,1.750997462704029,41548.85 
2.25,-0.25,1.7396201557055275,40568.573 
2.5,-0.25,1.7481343661746138,41056.845 
2.75,-0.25,1.7043009455313372,41939.129 
3.0,-0.25,1.7417542080920017,43618.891 
-3.0,0.0,1.3873468871365766,42714.123 
-2.75,0.0,1.7539019219066525,42380.616 
-2.5,0.0,1.7485148037376308,43053.544 
-2.25,0.0,1.7479813212802078,42939.656 
-2.0,0.0,1.7037876892344408,41335.482 
-1.75,0.0,1.7428426982094254,38466.459 
-1.5,0.0,1.7503223561273036,35928.552 
-1.25,0.0,1.575366997425569,35572.942 
-1.0,0.0,1.708103583506386,36841.218 
-0.75,0.0,1.7450226068703263,38017.958 
-0.5,0.0,1.7006024184283253,38250.532 
-0.25,0.0,1.7146572572243846,40432.811 
0.0,0.0,1.709304517066085,43531.19 
0.25,0.0,1.7488358187404223,45547.33 
0.5,0.0,1.7071651875339475,45691.831 
0.75,0.0,1.7092066496327771,43966.047 
1.0,0.0,1.7475942379647005,41990.613 
1.25,0.0,1.7445749061808913,40938.854 
1.5,0.0,1.7525158637266307,41346.105 
1.75,0.0,1.7562341977411924,42729.049 
2.0,0.0,1.7415144460445704,42460.705 
2.25,0.0,1.6949727882166092,40598.116 
2.5,0.0,1.7481708676849614,41306.145 
2.75,0.0,1.7380224865248226,42018.823 
3.0,0.0,1.7110169582318606,43133.556 
-3.0,0.25,1.7520020924994575,43430.962 
-2.75,0.25,1.712071554105183,42681.123 
-2.5,0.25,1.7153532009742845,42146.325 
-2.25,0.25,1.72045911883018,41678.054 
-2.0,0.25,1.7570329726960348,40557.05 
-1.75,0.25,1.6968754342437193,38821.669 
-1.5,0.25,1.7045353826430352,36796.116 
-1.25,0.25,1.7569210510699433,35801.659 
-1.0,0.25,1.7132327736441189,36977.112 
-0.75,0.25,1.748572560964388,39181.915 
-0.5,0.25,1.7511873285702366,42158.381 
-0.25,0.25,1.7080761144201173,45800.948 
0.0,0.25,1.7077100220722803,48198.512 
0.25,0.25,1.7549315762663815,47639.331 
0.5,0.25,1.7340190048865096,44796.889 
0.75,0.25,1.7422650124778194,42249.919 
1.0,0.25,1.74402775002489,41041.268 
1.25,0.25,1.7118868483983134,40804.041 
1.5,0.25,1.7008327019040763,41163.201 
1.75,0.25,1.751574087114013,42274.448 
2.0,0.25,1.745518246996729,43360.269 
2.25,0.25,1.7449681453361818,43046.995 
2.5,0.25,1.756780502764058,43190.359 
2.75,0.25,1.7497638136416687,42798.556 
3.0,0.25,1.7135451069499965,42590.317 
-3.0,0.5,1.3946391540316425,44021.685 
-2.75,0.5,1.7445586887035942,42854.595 
-2.5,0.5,1.7121872993694705,40883.387 
-2.25,0.5,1.7178234923986957,39676.05 
-2.0,0.5,1.744339442632574,39079.318 
-1.75,0.5,1.7069636738598437,38476.626 
-1.5,0.5,1.7555921261832195,37032.145 
-1.25,0.5,1.7522527554795777,35668.025 
-1.0,0.5,1.7467668959443219,36613.063 
-0.75,0.5,1.7512200342841662,42073.033 
-0.5,0.5,1.7135597997957344,48966.235 
-0.25,0.5,1.7413566666777014,51802.908 
0.0,0.5,1.751772870750128,52078.759 
0.25,0.5,1.7433114299035253,49970.713 
0.5,0.5,1.717312722872868,44849.905 
0.75,0.5,1.700890628034169,41141.341 
1.0,0.5,1.709775838313011,40491.466 
1.25,0.5,1.7476650262522,41077.269 
1.5,0.5,1.7454188893838898,40822.081 
1.75,0.5,1.7064268051105367,40722.679 
2.0,0.5,1.7112407622283345,42171.719 
2.25,0.5,1.7069103712518292,43440.965 
2.5,0.5,1.749505103068994,43583.29 
